"","parameter","2.5%","50%","97.5%"
"1","b0.transect[1]",-0.0577885029404211,0.286293108968003,0.652565088264749
"2","b0.transect[2]",1.0489696561244,1.40650566392843,1.77244910995608
"3","b0.transect[3]",0.862463731405175,1.17258262077951,1.50139017114737
"4","b0.transect[4]",0.426366656984088,0.759293032396961,1.09148064155585
"5","b0.transect[5]",0.691250912858291,0.976144375835897,1.29254880799277
"6","b0.transect[6]",0.880047778217268,1.16500275726853,1.46950409420422
"7","b0.transect[7]",0.326462280158211,0.635834437681982,0.954042271193087
"8","b0.transect[8]",0.607344248355977,0.911255161376567,1.22417576477121
"9","b0.transect[9]",0.910603400448397,1.20190930675243,1.51700973388772
"10","b0.transect[10]",1.56360365693258,1.85272718487325,2.15682223954521
"11","b0.transect[11]",1.54051980404434,1.83037954767737,2.13331549665139
"12","b0.transect[12]",1.57475066180114,1.85218426790631,2.15493116331422
"13","b0.transect[13]",0.952508818675878,1.32606652767518,1.67308718550326
"14","b0.transect[14]",1.47795835538091,1.7179472649572,1.98771509249403
"15","b0.transect[15]",1.11925806511351,1.38979564249754,1.67616770618677
"16","b0.transect[16]",1.37216907640255,1.62061805408312,1.87304878737573
"17","b0.transect[17]",1.25424154174398,1.64251377014818,1.99725733862727
"18","b0.transect[18]",1.39938771562231,1.64209104356903,1.90410842582189
"19","b0.transect[19]",0.981353675948632,1.28270581309528,1.59256628443741
"20","b0.transect[20]",1.40133962383714,1.64359557863704,1.89493616764735
"21","b0.transect[21]",1.29416587631764,1.57679811814355,1.87308786761187
"22","b0.transect[22]",1.11267927023057,1.40965137243129,1.70586973039344
"23","b0.transect[23]",1.54689140593988,1.8168658640855,2.08548984269873
"24","b0.transect[24]",1.6085279506008,1.88349924310463,2.16862718666933
"25","b0.transect[25]",1.52623711148363,1.86219218170953,2.20479438902744
"26","b0.transect[26]",1.73713050622126,2.03063112679325,2.34416437846499
"27","b0.transect[27]",1.81380648428039,2.09408361141238,2.39035874239237
"28","b0.transect[28]",1.76857857422046,2.04211251243569,2.32345671024485
"29","b0.transect[29]",1.72372394617465,2.00258935568491,2.29535510855561
"30","b0.transect[30]",-0.104055379146191,0.266591345413963,0.664933457739065
"31","b0.transect[31]",0.869951347357323,1.22280405462116,1.56760102349941
"32","b0.transect[32]",-0.0097332055507143,0.281486009604877,0.584524466938679
"33","b0.transect[33]",0.00510352165333981,0.29484055783941,0.594338255871991
"34","b0.transect[34]",0.0575892552847111,0.351733123217575,0.645125372764582
"35","b0.transect[35]",0.341825858019998,0.63330727783434,0.958929718507282
"36","b0.transect[36]",-0.00916098912068025,0.27321826652509,0.575752734935127
"37","b0.transect[37]",-0.115089877310479,0.163467107953845,0.453707794169077
"38","b0.transect[38]",-0.0930587519302885,0.197598161773392,0.489861854615916
"39","b0.transect[39]",-0.101802357202341,0.195102123818512,0.481594462219727
"40","b0.transect[40]",-0.28880809181083,0.0600149761228042,0.416584821920562
"41","b0.transect[41]",-0.321538881060256,0.0213371287939924,0.375135329402176
"42","b0.transect[42]",-0.225113684010952,0.116539451764629,0.447796900537643
"43","b0.transect[43]",-0.222878801696389,0.116486645996717,0.464274046736247
"44","b[1]",-0.307567776445822,-0.210147894337523,-0.11307545080313
"45","b[2]",0.0231756578567897,0.207713043030633,0.386656496091948
"46","wA[1]",0.143209404761891,0.4018408426158,0.65055500279623
"47","wA[2]",0.0487167049022219,0.279604517209454,0.530530166935338
"48","wA[3]",0.00154372889147907,0.0453631687459356,0.192800756135604
"49","wA[4]",0.00607346365960304,0.123454725142246,0.349194578719292
"50","wA[5]",0.00250888990226569,0.062088787130751,0.231239198045374
"51","wA[6]",0.00126682415586715,0.0330664854229161,0.149502459557412
"52","wB[1]",0.00451826731802349,0.092776009464095,0.31933571953094
"53","wB[2]",0.00397781424023856,0.10983723846663,0.375295878468094
"54","wB[3]",0.00197557924799915,0.0543361308215784,0.239173401268251
"55","wB[4]",0.00398725075491159,0.0893044450970578,0.337959975694277
"56","wB[5]",0.00139018043519915,0.0335709326477046,0.179627455302027
"57","wB[6]",0.0032063377423478,0.0887023684028723,0.358567700138667
"58","wB[7]",0.00109576369321997,0.0312456530881796,0.180672462247848
"59","wB[8]",0.00371674140742514,0.0912313921140444,0.343372352532518
"60","wB[9]",0.00171117743357351,0.0430191044375489,0.199914622364106
"61","wB[10]",0.0046667394850189,0.104648274753064,0.383589692433515
"62","wB[11]",0.00149624726321129,0.0398743316369128,0.205273159894917
"63","sig.transect",0.154242119634523,0.239114503527479,0.351968354318069
"64","sig.site",0.486862647217733,0.763739688572147,1.33203549700837
"65","var.process",0.035398934667243,0.0393756930754071,0.0436199310796015
