"","parameter","2.5%","50%","97.5%"
"1","b0",-1.82325525047751,-1.60731700684866,-1.39227315235729
"2","b[1]",0.0263767424270372,0.111513846126383,0.196891324194348
"3","b[2]",-0.369658168387734,-0.273059649646806,-0.182947519627661
"4","wA[1]",0.00404633888083166,0.0885863854949698,0.349020483614299
"5","wA[2]",0.0127607853418325,0.206920111816152,0.515537377595336
"6","wA[3]",0.00854662884093724,0.168084967428306,0.496115988828659
"7","wA[4]",0.0236668851816193,0.279364022667754,0.608454760812666
"8","wA[5]",0.00248957680411849,0.0645351367837513,0.298307665291652
"9","wA[6]",0.00337350339180647,0.0821895325875843,0.324966419854119
"10","wB[1]",0.521394995819246,0.725519324281818,0.885727902182677
"11","wB[2]",0.00131971202402671,0.0345251544188116,0.163683649913965
"12","wB[3]",0.000695378387016112,0.0182496957520219,0.0979189405574595
"13","wB[4]",0.0018548596815818,0.0453073218979004,0.19740736986826
"14","wB[5]",0.00080312027709295,0.0215811061283333,0.105489010469952
"15","wB[6]",0.00529895654833101,0.104457350715105,0.299552168954279
