"SITE_TRANS","YEAR","siteID","yrID"
"ABUR_1",2002,1,3
"ABUR_2",2002,2,3
"ABUR_1",2003,1,4
"ABUR_2",2003,2,4
"AQUE_1",2003,3,4
"MOHK_1",2003,21,4
"ABUR_1",2004,1,5
"ABUR_2",2004,2,5
"AQUE_1",2004,3,5
"AQUE_2",2004,4,5
"AQUE_3",2004,5,5
"AQUE_4",2004,6,5
"AQUE_5",2004,7,5
"AQUE_6",2004,8,5
"BULL_1",2004,9,5
"BULL_3",2004,10,5
"BULL_6",2004,11,5
"GOLB_1",2004,12,5
"GOLB_2",2004,13,5
"IVEE_1",2004,14,5
"IVEE_2",2004,15,5
"MOHK_1",2004,21,5
"MOHK_2",2004,22,5
"NAPL_1",2004,23,5
"NAPL_2",2004,24,5
"NAPL_3",2004,25,5
"NAPL_4",2004,26,5
"NAPL_5",2004,27,5
"NAPL_6",2004,28,5
"NAPL_7",2004,29,5
"NAPL_8",2004,30,5
"ABUR_1",2005,1,6
"ABUR_2",2005,2,6
"AQUE_1",2005,3,6
"AQUE_2",2005,4,6
"AQUE_3",2005,5,6
"AQUE_4",2005,6,6
"AQUE_5",2005,7,6
"AQUE_6",2005,8,6
"BULL_1",2005,9,6
"BULL_3",2005,10,6
"BULL_6",2005,11,6
"IVEE_1",2005,14,6
"IVEE_2",2005,15,6
"MOHK_1",2005,21,6
"MOHK_2",2005,22,6
"NAPL_1",2005,23,6
"NAPL_2",2005,24,6
"NAPL_3",2005,25,6
"NAPL_4",2005,26,6
"NAPL_5",2005,27,6
"NAPL_6",2005,28,6
"NAPL_7",2005,29,6
"NAPL_8",2005,30,6
"SCDI_2",2005,31,6
"SCDI_3",2005,32,6
"SCTW_2",2005,33,6
"SCTW_3",2005,34,6
"ABUR_1",2006,1,7
"ABUR_2",2006,2,7
"AQUE_1",2006,3,7
"AQUE_2",2006,4,7
"AQUE_3",2006,5,7
"AQUE_4",2006,6,7
"AQUE_5",2006,7,7
"AQUE_6",2006,8,7
"BULL_1",2006,9,7
"BULL_3",2006,10,7
"BULL_6",2006,11,7
"GOLB_1",2006,12,7
"GOLB_2",2006,13,7
"IVEE_1",2006,14,7
"IVEE_2",2006,15,7
"MOHK_1",2006,21,7
"MOHK_2",2006,22,7
"NAPL_1",2006,23,7
"NAPL_2",2006,24,7
"NAPL_3",2006,25,7
"NAPL_4",2006,26,7
"NAPL_5",2006,27,7
"NAPL_6",2006,28,7
"NAPL_7",2006,29,7
"NAPL_8",2006,30,7
