"","RECYEAR","RECMONTH","RECDAY","TRANSNUM","WATERSHED","COMMONNAME","AOUCODE","NOBS","TransID","yrID","SpecID","DURATION","REP"
"1",1981,6,10,14,"020B","Acadian Flycatcher","ACFL",0,3,1,1,35,1
"2",1981,6,10,14,"020B","American Crow","AMCR",0,3,1,2,35,1
"3",1981,6,10,14,"020B","American Goldfinch","AMGO",0,3,1,3,35,1
"4",1981,6,10,14,"020B","American Robin","AMRO",0,3,1,4,35,1
"5",1981,6,10,14,"020B","American Tree Sparrow","ATSP",0,3,1,5,35,1
"6",1981,6,10,14,"020B","Baltimore Oriole","BAOR",0,3,1,6,35,1
"7",1981,6,10,14,"020B","Barn Swallow","BARS",0,3,1,7,35,1
"8",1981,6,10,14,"020B","Bell's Vireo","BEVI",0,3,1,8,35,1
"9",1981,6,10,14,"020B","Black-capped Chickadee","BCCH",0,3,1,9,35,1
"10",1981,6,10,14,"020B","Blue Grosbeak","BLGR",0,3,1,10,35,1
"11",1981,6,10,14,"020B","Blue Jay","BLJA",0,3,1,11,35,1
"12",1981,6,10,14,"020B","Brown-headed Cowbird","BHCO",4,3,1,12,35,1
"13",1981,6,10,14,"020B","Brown Thrasher","BRTH",1,3,1,13,35,1
"14",1981,6,10,14,"020B","Cliff Swallow","CLSW",0,3,1,14,35,1
"15",1981,6,10,14,"020B","Common Grackle","COGR",0,3,1,15,35,1
"16",1981,6,10,14,"020B","Common Yellowthroat","COYE",1,3,1,16,35,1
"17",1981,6,10,14,"020B","Dark-eyed Junco","DEJU",0,3,1,17,35,1
"18",1981,6,10,14,"020B","Dickcissel","DICK",6,3,1,18,35,1
"19",1981,6,10,14,"020B","Eastern Bluebird","EABL",0,3,1,19,35,1
"20",1981,6,10,14,"020B","Eastern Kingbird","EAKI",0,3,1,20,35,1
"21",1981,6,10,14,"020B","Eastern Meadowlark","EAME",8,3,1,21,35,1
"22",1981,6,10,14,"020B","Eastern Towhee","EATO",0,3,1,22,35,1
"23",1981,6,10,14,"020B","European Starling","EUST",0,3,1,23,35,1
"24",1981,6,10,14,"020B","Field Sparrow","FISP",0,3,1,24,35,1
"25",1981,6,10,14,"020B","Grasshopper Sparrow","GRSP",1,3,1,25,35,1
"26",1981,6,10,14,"020B","Gray Catbird","GRCA",0,3,1,26,35,1
"27",1981,6,10,14,"020B","Great-tailed Grackle","GTGR",0,3,1,27,35,1
"28",1981,6,10,14,"020B","Great Crested Flycatcher","GCFL",0,3,1,28,35,1
"29",1981,6,10,14,"020B","Henslow's Sparrow","HESP",3,3,1,29,35,1
"30",1981,6,10,14,"020B","Horned Lark","HOLA",0,3,1,30,35,1
"31",1981,6,10,14,"020B","House Wren","HOWR",0,3,1,31,35,1
"32",1981,6,10,14,"020B","Indigo Bunting","INBU",0,3,1,32,35,1
"33",1981,6,10,14,"020B","Lark Sparrow","LASP",0,3,1,33,35,1
"34",1981,6,10,14,"020B","LeConte's Sparrow","LCSP",0,3,1,34,35,1
"35",1981,6,10,14,"020B","Lincoln's Sparrow","LISP",0,3,1,35,35,1
"36",1981,6,10,14,"020B","Loggerhead Shrike","LOSH",0,3,1,36,35,1
"37",1981,6,10,14,"020B","Mourning Dove","MODO",0,3,1,37,35,1
"38",1981,6,10,14,"020B","Northern Cardinal","NOCA",0,3,1,38,35,1
"39",1981,6,10,14,"020B","Northern Flicker","NOFL",0,3,1,39,35,1
"40",1981,6,10,14,"020B","Northern Rough-winged Swallow","NRWS",0,3,1,40,35,1
"41",1981,6,10,14,"020B","Orchard Oriole","OROR",0,3,1,41,35,1
"42",1981,6,10,14,"020B","Pine Siskin","PISI",0,3,1,42,35,1
"43",1981,6,10,14,"020B","Red-winged Blackbird","RWBL",0,3,1,43,35,1
"44",1981,6,10,14,"020B","Savannah Sparrow","SAVS",0,3,1,44,35,1
"45",1981,6,10,14,"020B","Sedge Wren","SEWR",0,3,1,45,35,1
"46",1981,6,10,14,"020B","Song Sparrow","SOSP",0,3,1,46,35,1
"47",1981,6,10,14,"020B","Spotted Towhee","SPTO",0,3,1,47,35,1
"48",1981,6,10,14,"020B","Summer Tanager","SUTA",0,3,1,48,35,1
"49",1981,6,10,14,"020B","Swamp Sparrow","SWSP",0,3,1,49,35,1
"50",1981,6,10,14,"020B","Tufted Titmouse","TUTI",0,3,1,50,35,1
"51",1981,6,10,14,"020B","Vesper Sparrow","VESP",0,3,1,51,35,1
"52",1981,6,10,14,"020B","Warbling Vireo","WAVI",0,3,1,52,35,1
