"","RECYEAR","TRANSNUM","WATERSHED","TransID","yrID"
"1",1981,2,"N04B",2,1
"2",1981,15,"L00A",13,1
"3",1981,1,"N04D",1,1
"4",1981,5,"004D",5,1
"5",1981,9,"R20A",8,1
"6",1981,10,"N01B",9,1
"7",1981,14,"020B",12,1
"8",1981,13,"020C",11,1
"9",1981,16,"S00A",14,1
"10",1981,3,"004B",3,1
"11",1981,6,"N01B",6,1
"12",1981,8,"001D",7,1
"13",1981,4,"004A",4,1
"14",1981,12,"R01B",10,1
"15",1981,17,"G00A",15,1
"16",1982,3,"004B",3,2
"17",1982,8,"001D",7,2
"18",1982,1,"N04D",1,2
"19",1982,6,"N01B",6,2
"20",1982,12,"R01B",10,2
"21",1982,5,"004D",5,2
"22",1982,9,"R20A",8,2
"23",1982,10,"N01B",9,2
"24",1982,2,"N04B",2,2
"25",1982,4,"004A",4,2
"26",1982,14,"020B",12,2
"27",1982,13,"020C",11,2
"28",1982,15,"L00A",13,2
"29",1982,16,"S00A",14,2
"30",1982,17,"G00A",15,2
"31",1982,18,"N20B",16,2
"32",1983,8,"001D",7,3
"33",1983,14,"020B",12,3
"34",1983,17,"G00A",15,3
"35",1983,5,"004D",5,3
"36",1983,18,"N20B",16,3
"37",1983,4,"004A",4,3
"38",1983,6,"N01B",6,3
"39",1983,15,"L00A",13,3
"40",1983,1,"N04D",1,3
"41",1983,16,"S00A",14,3
"42",1983,3,"004B",3,3
"43",1983,2,"N04B",2,3
"44",1983,9,"R20A",8,3
"45",1983,10,"N01B",9,3
"46",1983,12,"R01B",10,3
"47",1983,13,"020C",11,3
"48",1984,3,"004B",3,4
"49",1984,4,"004A",4,4
"50",1984,9,"R20A",8,4
"51",1984,14,"020B",12,4
"52",1984,1,"N04D",1,4
"53",1984,10,"N01B",9,4
"54",1984,15,"L00A",13,4
"55",1984,6,"N01B",6,4
"56",1984,17,"G00A",15,4
"57",1984,16,"S00A",14,4
"58",1984,2,"N04B",2,4
"59",1984,13,"020C",11,4
"60",1984,12,"R01B",10,4
"61",1984,18,"N20B",16,4
"62",1984,5,"004D",5,4
"63",1984,8,"001D",7,4
"64",1985,1,"N04D",1,5
"65",1985,10,"N01B",9,5
"66",1985,13,"020C",11,5
"67",1985,14,"020B",12,5
"68",1985,8,"001D",7,5
"69",1985,9,"R20A",8,5
"70",1985,12,"R01B",10,5
"71",1985,15,"L00A",13,5
"72",1985,18,"N20B",16,5
"73",1985,2,"N04B",2,5
"74",1985,3,"004B",3,5
"75",1985,4,"004A",4,5
"76",1985,5,"004D",5,5
"77",1985,6,"N01B",6,5
"78",1985,16,"S00A",14,5
"79",1985,17,"G00A",15,5
"80",1986,1,"N04D",1,6
"81",1986,5,"004D",5,6
"82",1986,8,"001D",7,6
"83",1986,12,"R01B",10,6
"84",1986,9,"R20A",8,6
"85",1986,13,"020C",11,6
"86",1986,18,"N20B",16,6
"87",1986,2,"N04B",2,6
"88",1986,3,"004B",3,6
"89",1986,6,"N01B",6,6
"90",1986,14,"020B",12,6
"91",1986,4,"004A",4,6
"92",1986,10,"N01B",9,6
"93",1986,15,"L00A",13,6
"94",1986,16,"S00A",14,6
"95",1986,17,"G00A",15,6
"96",1987,5,"004D",5,7
"97",1987,1,"N04D",1,7
"98",1987,9,"R20A",8,7
"99",1987,2,"N04B",2,7
"100",1987,6,"N01B",6,7
"101",1987,8,"001D",7,7
"102",1987,3,"004B",3,7
"103",1987,18,"N20B",16,7
"104",1987,10,"N01B",9,7
"105",1987,17,"G00A",15,7
"106",1987,4,"004A",4,7
"107",1987,12,"R01B",10,7
"108",1987,13,"020C",11,7
"109",1987,15,"L00A",13,7
"110",1987,16,"S00A",14,7
"111",1987,14,"020B",12,7
"112",1988,2,"N04B",2,8
"113",1988,8,"001D",7,8
"114",1988,9,"R20A",8,8
"115",1988,15,"L00A",13,8
"116",1988,5,"004D",5,8
"117",1988,16,"S00A",14,8
"118",1988,17,"G00A",15,8
"119",1988,12,"R01B",10,8
"120",1988,14,"020B",12,8
"121",1988,18,"N20B",16,8
"122",1988,1,"N04D",1,8
"123",1988,4,"004A",4,8
"124",1988,10,"N01B",9,8
"125",1988,3,"004B",3,8
"126",1988,6,"N01B",6,8
"127",1988,13,"020C",11,8
"128",1989,1,"N04D",1,9
"129",1989,13,"020C",11,9
"130",1989,17,"G00A",15,9
"131",1989,5,"004D",5,9
"132",1989,12,"R01B",10,9
"133",1989,18,"N20B",16,9
"134",1989,3,"004B",3,9
"135",1989,6,"N01B",6,9
"136",1989,16,"S00A",14,9
"137",1989,8,"001D",7,9
"138",1989,15,"L00A",13,9
"139",1989,2,"N04B",2,9
"140",1989,10,"N01B",9,9
"141",1989,14,"020B",12,9
"142",1989,4,"004A",4,9
"143",1989,9,"R20A",8,9
"144",1990,1,"N04D",1,10
"145",1990,9,"R20A",8,10
"146",1990,10,"N01B",9,10
"147",1990,2,"N04B",2,10
"148",1990,8,"001D",7,10
"149",1990,17,"G00A",15,10
"150",1990,4,"004A",4,10
"151",1990,5,"004D",5,10
"152",1990,16,"S00A",14,10
"153",1990,3,"004B",3,10
"154",1990,15,"L00A",13,10
"155",1990,6,"N01B",6,10
"156",1990,12,"R01B",10,10
"157",1990,13,"020C",11,10
"158",1990,18,"N20B",16,10
"159",1990,14,"020B",12,10
"160",1991,6,"N01B",6,11
"161",1991,8,"001D",7,11
"162",1991,12,"R01B",10,11
"163",1991,14,"020B",12,11
"164",1991,17,"G00A",15,11
"165",1991,2,"N04B",2,11
"166",1991,10,"N01B",9,11
"167",1991,18,"N20B",16,11
"168",1991,1,"N04D",1,11
"169",1991,4,"004A",4,11
"170",1991,13,"020C",11,11
"171",1991,16,"S00A",14,11
"172",1991,5,"004D",5,11
"173",1991,15,"L00A",13,11
"174",1991,3,"004B",3,11
"175",1991,9,"R20A",8,11
"176",1992,8,"001D",7,12
"177",1992,10,"N01B",9,12
"178",1992,12,"R01B",10,12
"179",1992,2,"N04B",2,12
"180",1992,4,"004A",4,12
"181",1992,9,"R20A",8,12
"182",1992,17,"G00A",15,12
"183",1992,5,"004D",5,12
"184",1992,14,"020B",12,12
"185",1992,15,"L00A",13,12
"186",1992,6,"N01B",6,12
"187",1992,13,"020C",11,12
"188",1992,16,"S00A",14,12
"189",1992,1,"N04D",1,12
"190",1992,3,"004B",3,12
"191",1992,18,"N20B",16,12
"192",1993,15,"L00A",13,13
"193",1993,16,"S00A",14,13
"194",1993,8,"001D",7,13
"195",1993,12,"R01B",10,13
"196",1993,17,"G00A",15,13
"197",1993,2,"N04B",2,13
"198",1993,4,"004A",4,13
"199",1993,5,"004D",5,13
"200",1993,9,"R20A",8,13
"201",1993,14,"020B",12,13
"202",1993,1,"N04D",1,13
"203",1993,6,"N01B",6,13
"204",1993,18,"N20B",16,13
"205",1993,3,"004B",3,13
"206",1993,13,"020C",11,13
"207",1993,10,"N01B",9,13
"208",1994,8,"001D",7,14
"209",1994,13,"020C",11,14
"210",1994,15,"L00A",13,14
"211",1994,2,"N04B",2,14
"212",1994,12,"R01B",10,14
"213",1994,17,"G00A",15,14
"214",1994,3,"004B",3,14
"215",1994,4,"004A",4,14
"216",1994,6,"N01B",6,14
"217",1994,9,"R20A",8,14
"218",1994,14,"020B",12,14
"219",1994,5,"004D",5,14
"220",1994,16,"S00A",14,14
"221",1994,1,"N04D",1,14
"222",1994,10,"N01B",9,14
"223",1994,18,"N20B",16,14
"224",1995,8,"001D",7,15
"225",1995,10,"N01B",9,15
"226",1995,15,"L00A",13,15
"227",1995,5,"004D",5,15
"228",1995,6,"N01B",6,15
"229",1995,13,"020C",11,15
"230",1995,14,"020B",12,15
"231",1995,3,"004B",3,15
"232",1995,4,"004A",4,15
"233",1995,9,"R20A",8,15
"234",1995,2,"N04B",2,15
"235",1995,12,"R01B",10,15
"236",1995,16,"S00A",14,15
"237",1995,1,"N04D",1,15
"238",1995,17,"G00A",15,15
"239",1995,18,"N20B",16,15
"240",1996,6,"N01B",6,16
"241",1996,14,"020B",12,16
"242",1996,15,"L00A",13,16
"243",1996,3,"004B",3,16
"244",1996,4,"004A",4,16
"245",1996,9,"R20A",8,16
"246",1996,17,"G00A",15,16
"247",1996,18,"N20B",16,16
"248",1996,10,"N01B",9,16
"249",1996,12,"R01B",10,16
"250",1996,13,"020C",11,16
"251",1996,1,"N04D",1,16
"252",1996,2,"N04B",2,16
"253",1996,8,"001D",7,16
"254",1996,16,"S00A",14,16
"255",1997,15,"L00A",13,17
"256",1997,6,"N01B",6,17
"257",1997,8,"001D",7,17
"258",1997,14,"020B",12,17
"259",1997,18,"N20B",16,17
"260",1997,1,"N04D",1,17
"261",1997,10,"N01B",9,17
"262",1997,13,"020C",11,17
"263",1997,17,"G00A",15,17
"264",1997,2,"N04B",2,17
