"","parameter","2.5%","50%","97.5%"
"1","b0",-2.07616776066974,-1.73757766909961,-1.40568481535603
"2","b[1]",-0.113075259415054,-0.0113695926016983,0.0934406485945876
"3","b[2]",0.520121995039771,0.665643891102079,0.801079338355575
"4","b[3]",0.0786902438437045,0.208642476772321,0.351511296108829
"5","wA[1]",0.00453819455498939,0.121453202889534,0.561675532563539
"6","wA[2]",0.00431820293474313,0.110533618427274,0.472998544258165
"7","wA[3]",0.00368727498057039,0.105750577557568,0.47086829097755
"8","wA[4]",0.00587184721279035,0.159294070656624,0.621659593885757
"9","wA[5]",0.00474384371726158,0.118606758334897,0.472849984627049
"10","wA[6]",0.00500197379621724,0.142329915772773,0.546881250495114
"11","wB[1]",0.380044834883816,0.475301648918735,0.574034697670565
"12","wB[2]",0.000805946950959043,0.0232296581363774,0.0960732678111345
"13","wB[3]",0.000418137081388398,0.011614081181309,0.0588751800788429
"14","wB[4]",0.302844539711174,0.436529515670436,0.532964203816041
"15","wB[5]",0.000274555937656683,0.00766140055823977,0.0421576016034797
"16","wB[6]",0.000923340027114983,0.0251567055291805,0.129400813595438
"17","wC[1]",0.00420243301254808,0.0938154571150652,0.355842928894134
"18","wC[2]",0.00105789047784095,0.0270123831155152,0.140189620729492
"19","wC[3]",0.00258163947794815,0.0683788236696298,0.309436179066579
"20","wC[4]",0.0759124827935888,0.305578319699259,0.651373030641
"21","wC[5]",0.0211177994696012,0.366353557094656,0.684782188103283
"22","wC[6]",0.00216934666113302,0.0574303452993448,0.2674893940475
