"","iteration","species_num","year_num","occupancy","species","year"
"1","1",1,1,0,"ANDA","2002"
"2","1",2,1,0,"AUFL","2002"
"3","1",3,1,0,"BFRE","2002"
"4","1",4,1,0,"BOTH","2002"
"5","1",5,1,1,"BRAY","2002"
"6","1",6,1,1,"CAGG","2002"
"7","1",7,1,0,"CPUN","2002"
"8","1",8,1,0,"CSAT","2002"
"9","1",9,1,0,"CVEN","2002"
"10","1",10,1,1,"DVAC","2002"
"11","1",11,1,1,"EJAC","2002"
"12","1",12,1,0,"ELAT","2002"
"13","1",13,1,1,"EMBI","2002"
"14","1",14,1,0,"GNIG","2002"
"15","1",15,1,0,"HARG","2002"
"16","1",16,1,1,"HCAR","2002"
"17","1",17,1,1,"HDEC","2002"
"18","1",18,1,0,"HROS","2002"
"19","1",19,1,0,"HRUB","2002"
"20","1",20,1,0,"HSEM","2002"
"21","1",21,1,0,"MCAL","2002"
"22","1",22,1,1,"OCAL","2002"
"23","1",23,1,0,"OELO","2002"
"24","1",24,1,0,"PCAL","2002"
"25","1",25,1,1,"PCLA","2002"
"26","1",26,1,1,"PFUR","2002"
"27","1",27,1,0,"PLTR","2002"
"28","1",28,1,1,"PNEB","2002"
"29","1",29,1,0,"PTRY","2002"
"30","1",30,1,0,"RPRO","2002"
"31","1",31,1,0,"RTOX","2002"
"32","1",32,1,1,"SATR","2002"
"33","1",33,1,0,"SAUR","2002"
"34","1",34,1,1,"SCAL","2002"
"35","1",35,1,0,"SCAR","2002"
"36","1",36,1,0,"SCAU","2002"
"37","1",37,1,0,"SCHR","2002"
"38","1",38,1,0,"SCSP","2002"
"39","1",39,1,1,"SFLA","2002"
"40","1",40,1,0,"SGUT","2002"
"41","1",41,1,1,"SMAR","2002"
"42","1",42,1,0,"SMIN","2002"
"43","1",43,1,0,"SMYS","2002"
"44","1",44,1,0,"SPAR","2002"
"45","1",45,1,0,"SPAU","2002"
"46","1",46,1,0,"SPUL","2002"
"47","1",47,1,0,"SRAS","2002"
"48","1",48,1,1,"SSER","2002"
"49","1",49,1,0,"STRE","2002"
"50","1",50,1,0,"SYNG","2002"
"51","1",51,1,1,"TSEM","2002"
"52","1",1,2,1,"ANDA","2003"
"53","1",2,2,0,"AUFL","2003"
"54","1",3,2,1,"BFRE","2003"
"55","1",4,2,0,"BOTH","2003"
"56","1",5,2,1,"BRAY","2003"
"57","1",6,2,0,"CAGG","2003"
"58","1",7,2,0,"CPUN","2003"
"59","1",8,2,0,"CSAT","2003"
"60","1",9,2,0,"CVEN","2003"
"61","1",10,2,1,"DVAC","2003"
"62","1",11,2,1,"EJAC","2003"
"63","1",12,2,0,"ELAT","2003"
"64","1",13,2,0,"EMBI","2003"
"65","1",14,2,0,"GNIG","2003"
"66","1",15,2,0,"HARG","2003"
"67","1",16,2,0,"HCAR","2003"
"68","1",17,2,0,"HDEC","2003"
"69","1",18,2,0,"HROS","2003"
"70","1",19,2,1,"HRUB","2003"
"71","1",20,2,1,"HSEM","2003"
"72","1",21,2,0,"MCAL","2003"
"73","1",22,2,0,"OCAL","2003"
"74","1",23,2,1,"OELO","2003"
"75","1",24,2,0,"PCAL","2003"
"76","1",25,2,1,"PCLA","2003"
"77","1",26,2,1,"PFUR","2003"
"78","1",27,2,0,"PLTR","2003"
"79","1",28,2,1,"PNEB","2003"
"80","1",29,2,0,"PTRY","2003"
"81","1",30,2,0,"RPRO","2003"
"82","1",31,2,0,"RTOX","2003"
"83","1",32,2,1,"SATR","2003"
"84","1",33,2,0,"SAUR","2003"
"85","1",34,2,1,"SCAL","2003"
"86","1",35,2,0,"SCAR","2003"
"87","1",36,2,1,"SCAU","2003"
"88","1",37,2,0,"SCHR","2003"
"89","1",38,2,0,"SCSP","2003"
"90","1",39,2,1,"SFLA","2003"
"91","1",40,2,0,"SGUT","2003"
