"","YEAR","SIDE_QUAD","SITE_TRANSECT","SCIENTIFIC_NAME","OCC"
"1",2001,"20_I","AQUE_1","Abietinaria spp.",0
"2",2002,"20_I","AQUE_1","Abietinaria spp.",0
"3",2003,"20_I","AQUE_1","Abietinaria spp.",0
"4",2004,"20_I","AQUE_1","Abietinaria spp.",0
"5",2005,"20_I","AQUE_1","Abietinaria spp.",1
"6",2006,"20_I","AQUE_1","Abietinaria spp.",0
"7",2007,"20_I","AQUE_1","Abietinaria spp.",0
"8",2008,"20_I","AQUE_1","Abietinaria spp.",0
"9",2009,"20_I","AQUE_1","Abietinaria spp.",0
"10",2010,"20_I","AQUE_1","Abietinaria spp.",0
"11",2011,"20_I","AQUE_1","Abietinaria spp.",0
"12",2012,"20_I","AQUE_1","Abietinaria spp.",0
"13",2013,"20_I","AQUE_1","Abietinaria spp.",0
"14",2014,"20_I","AQUE_1","Abietinaria spp.",0
"15",2015,"20_I","AQUE_1","Abietinaria spp.",0
"16",2016,"20_I","AQUE_1","Abietinaria spp.",0
"17",2017,"20_I","AQUE_1","Abietinaria spp.",0
"18",2018,"20_I","AQUE_1","Abietinaria spp.",0
"19",2019,"20_I","AQUE_1","Abietinaria spp.",0
"20",2020,"20_I","AQUE_1","Abietinaria spp.",0
"21",2021,"20_I","AQUE_1","Abietinaria spp.",0
"22",2022,"20_I","AQUE_1","Abietinaria spp.",0
"23",2001,"20_O","AQUE_1","Abietinaria spp.",0
"24",2002,"20_O","AQUE_1","Abietinaria spp.",0
"25",2003,"20_O","AQUE_1","Abietinaria spp.",0
"26",2004,"20_O","AQUE_1","Abietinaria spp.",0
"27",2005,"20_O","AQUE_1","Abietinaria spp.",0
"28",2006,"20_O","AQUE_1","Abietinaria spp.",0
"29",2007,"20_O","AQUE_1","Abietinaria spp.",0
"30",2008,"20_O","AQUE_1","Abietinaria spp.",0
"31",2009,"20_O","AQUE_1","Abietinaria spp.",0
"32",2010,"20_O","AQUE_1","Abietinaria spp.",0
"33",2011,"20_O","AQUE_1","Abietinaria spp.",0
"34",2012,"20_O","AQUE_1","Abietinaria spp.",0
"35",2013,"20_O","AQUE_1","Abietinaria spp.",0
