"","SPECIES","LATIN.NAME","n"
"1","ACPI","Acantherus piperatus",74
"2","AGDE","Ageneotettix deorum",337
"3","AMCO","Amphitornus coloradus",35
"4","ARCO","Arphia conspersa",320
"5","ARPS","Arphia pseudonietana",300
"6","AUEL","Aulocara elliotti",1
"7","AUFE","Aulocara femoratum",383
"8","BOAR","Bootettix argentatus",80
"9","BRMA","Brachystola magna",18
"10","CIPA","Cibolacris parviceps",298
"11","COCR","Cordillacris crenulata",1
"12","COOC","Cordillacris occipitalis",283
"13","COTE","Conozoa texana",6
"14","DABI","Dactylotum bicolor",27
"15","ERSI","Eritettix simplex",225
"16","HATR","Hadrotettix trifasciatus",13
"17","HERU","Heliaula rufa",4
"18","HEVI","Hesperotettix viridis",29
"19","HICA","Hippopedon capito",105
"20","LEWH","Leprus wheeleri",45
"21","MEAR","Melanoplus aridus",9
"22","MEAR2","Melanoplus arizonae",292
"23","MEBO","Melanoplus bowditchi",32
"24","MEFL","Melanoplus flavidus",2
"25","MEGL","Melanoplus gladstoni",142
"26","MELA","Melanoplus lakinus",67
"27","MESA","Melanoplus sanguinipes",21
"28","MESP","Melanoplus splendidus",9
"29","MESP2",NA,1
"30","OPOB","Opeia obscura",87
"31","PAPA","Paropomala pallida",861
"32","PAWY","Paropomala wyomingensis",4
"33","PHNE","Phoetaliotes nebrascensis",2
"34","PHQU","Phlibostroma quadrimaculatum",4
"35","PHRO","Phrynotettix robustus",4
"36","PSDE","Psoloessa delicatula",946
"37","PSTE","Psoloessa texana",99
"38","SCNI","Schistocerca nitens",1
"39","SYMO","Syrbula montezuma",59
"40","TRCA","Trimerotropis californicus",357
"41","TRFO","Tropidolophus formosus",94
"42","TRKI","Trachyrhachis kiowa",144
"43","TRME","Trimerotropis melanoptera",16
"44","TRPA","Trimerotropis pallidipennis",1713
"45","TRPI","Trimerotropis pistrinaria",144
"46","XACO","Xanthippus corallipes",260
